year,quarter,revenue,revenue_growth,ebitda,ebitda_margin,employees,valuation,funding_raised,estimated_market_share,capex,opex,cash,debt,customer_count,source,confidence
2023,1,4.71,0.0389,0.71,0.15,2327.0,156.25,1.5,0.25,0.24,2.82,7.81,15.62,9413,unknown,0.85
2023,1,4.78,0.0686,0.72,0.15,2376.0,155.81,1.5,0.25,0.24,2.87,7.79,15.58,9568,public,0.89
2023,1,4.79,0.0364,0.72,0.15,2374.0,155.53,1.5,0.25,0.24,2.88,7.78,15.55,9583,public,0.62
2023,1,4.75,0.0838,-9999.99,0.15,,155.28,1.5,0.25,0.24,2.85,7.76,15.53,9493,N/A,0.64
2023,1,4.75,0.0425,0.71,0.15,2357.0,155.92,1.5,0.25,0.24,2.85,7.8,15.59,9504,model_estimate,0.67
2023,1,4.75,0.0212,0.71,0.15,,155.78,0.0,0.25,0.24,2.85,7.79,15.58,9503,model_estimate,0.84
2023,1,4.77,0.0336,0.72,0.15,2354.0,155.87,1.5,0.25,0.24,2.86,7.79,15.59,9549,public,0.94
2023,1,4.78,0.0399,0.72,0.15,2340.0,155.47,1.5,0.25,0.24,2.87,7.77,unknown,9551,model_estimate,0.82
2023,1,4.81,0.0356,0.72,0.15,2427.0,155.41,0.0,0.25,0.24,2.89,7.77,15.54,9623,-------,0.72
2023,1,4.84,0.0733,0.73,0.15,2461.0,155.94,0.0,0.25,0.24,2.9,7.8,15.59,9676,public,0.94
2023,1,4.84,0.03,0.73,0.15,2422.0,155.78,1.5,0.25,0.24,2.91,7.79,15.58,9683,model_estimate,0.75
2023,1,4.88,0.0211,0.73,0.15,2410.0,155.68,0.0,0.25,0.24,2.93,7.78,15.57,9751,model_estimate,0.61
2023,1,4.8,0.0514,0.72,0.15,2401.0,156.13,1.5,0.25,0.24,2.88,7.81,15.61,9593,model_estimate,unknown
2023,1,4.82,0.0504,0.72,0.15,2358.0,156.13,1.5,0.25,0.24,2.89,7.81,15.61,9631,public,0.89
2023,1,4.79,0.0453,0.72,0.15,2352.0,156.79,0.0,0.25,0.24,2.87,7.84,15.68,9579,public,0.92
2023,1,4.86,0.0366,0.73,0.15,2417.0,156.94,1.5,0.25,0.24,2.91,7.85,unknown,9710,model_estimate,0.83
2023,1,4.75,0.0303,0.71,0.15,2351.0,157.09,0.0,0.25,0.24,2.85,7.85,15.71,9493,model_estimate,0.89
2023,1,4.84,0.0316,0.73,0.15,2424.0,157.29,1.5,0.25,0.24,2.9,7.86,15.73,9682,model_estimate,0.86
2023,1,4.77,0.0726,0.72,0.15,,157.59,1.5,0.25,0.24,2.86,7.88,15.76,9543,public,0.96
2023,1,4.79,0.0346,0.72,0.15,2390.0,157.3,0.0,0.25,0.24,2.88,7.87,N/A,9585,public,0.64
2023,1,4.78,0.0806,0.72,0.15,2375.0,157.22,0.0,0.25,0.24,2.87,7.86,15.72,9563,public,0.62
2023,1,4.72,0.0626,0.71,0.15,2335.0,156.93,1.5,0.25,0.24,2.83,7.85,15.69,9438,model_estimate,0.78
2023,1,4.71,0.0456,0.71,0.15,2391.0,156.79,0.0,0.25,0.24,2.83,7.84,15.68,9418,model_estimate,0.64
2023,1,4.59,0.0847,0.69,0.15,2268.0,157.15,1.5,0.25,0.23,2.75,7.86,15.71,9180,public,0.92
2023,1,4.49,0.0672,0.67,0.15,2204.0,157.54,1.5,0.25,0.22,2.69,7.88,15.75,8978,model_estimate,0.79
2023,1,4.45,0.0311,0.67,0.15,2239.0,157.94,1.5,0.25,0.22,2.67,7.9,15.79,8890,public,0.84
2023,1,4.42,0.0726,0.66,0.15,2208.0,157.61,0.0,0.25,0.22,2.65,7.88,15.76,8849,public,0.62
2023,1,4.44,,0.67,0.15,2238.0,158.77,0.0,0.25,0.22,2.66,7.94,15.88,8879,model_estimate,0.87
2023,1,4.37,0.0318,0.66,0.15,,158.48,1.5,0.25,0.22,2.62,7.92,15.85,8734,public,0.86
2023,1,4.35,0.0314,0.65,0.15,2130.0,158.06,1.5,0.25,0.22,2.61,7.9,15.81,8700,model_estimate,0.63
2023,1,4.34,0.04,0.65,0.15,2194.0,158.36,0.0,0.25,0.22,2.6,7.92,15.84,8678,model_estimate,0.74
2023,1,4.31,0.0672,0.65,0.15,2172.0,158.91,0.0,0.25,0.22,2.58,7.95,15.89,8612,public,0.76
2023,1,4.28,0.0545,0.64,0.15,,158.8,0.0,0.25,0.21,2.57,7.94,-------,8557,model_estimate,0.94
2023,1,4.32,0.0474,0.65,0.15,2143.0,158.78,1.5,0.25,0.22,2.59,7.94,15.88,8631,model_estimate,0.77
2023,1,4.31,0.0445,0.65,0.15,2139.0,158.73,1.5,0.25,0.22,2.59,7.94,15.87,8629,public,0.74
2023,1,4.27,0.0529,-9999.99,0.15,2140.0,158.75,0.0,0.25,0.21,2.56,7.94,15.87,8548,-------,0.7
2023,1,4.32,0.0277,0.65,0.15,2194.0,158.89,0.0,0.25,0.22,2.59,7.94,15.89,8630,model_estimate,0.89
2023,1,4.42,0.0696,0.66,0.15,2202.0,158.59,0.0,0.25,0.22,2.65,7.93,15.86,8831,model_estimate,0.62
2023,1,4.43,0.0688,0.66,0.15,2256.0,158.94,0.0,0.25,0.22,2.66,7.95,15.89,8850,public,0.86
2023,1,4.39,0.0068,0.66,0.15,2238.0,159.44,0.0,0.25,0.22,2.63,7.97,15.94,8773,public,null
2023,1,4.45,0.0294,0.67,0.15,2258.0,159.79,0.0,0.25,0.22,2.67,7.99,15.98,8893,public,null
2023,1,4.4,0.0133,0.66,0.15,2223.0,159.69,0.0,0.25,0.22,2.64,7.98,15.97,8804,model_estimate,0.9
2023,1,4.41,0.0402,,0.15,2192.0,159.4,0.0,0.25,0.22,2.65,7.97,15.94,8827,public,0.75
2023,1,4.41,0.0454,0.66,0.15,2170.0,159.35,0.0,0.25,0.22,2.65,7.97,15.94,8818,public,-------
2023,1,4.35,0.0239,0.65,0.15,2142.0,160.05,1.5,0.25,0.22,2.61,8.0,16.0,8701,model_estimate,0.67
2023,1,4.34,0.0614,0.65,0.15,2166.0,159250.0,0.0,0.25,0.22,2.6,7.96,15.92,8673,public,0.64
2023,1,4.35,0.043,0.65,0.15,2166.0,159.35,0.0,0.25,0.22,2.61,7.97,15.94,8701,model_estimate,0.67
2023,1,4.35,0.082,0.65,0.15,2213.0,160.21,0.0,0.25,0.22,2.61,8.01,16.02,8690,model_estimate,0.78
2023,1,4.36,0.0495,0.65,0.15,2229.0,160.07,1.5,0.25,0.22,2.62,8.0,16.01,8723,model_estimate,0.77
2023,1,4.31,0.0015,,0.15,2138.0,159.98,0.0,0.25,0.22,2.58,8.0,16.0,8611,public,0.7
2023,1,4.31,0.0532,0.65,0.15,2108.0,159.62,1.5,0.25,0.22,2.58,7.98,15.96,8616,model_estimate,0.78
2023,1,4.31,,0.65,0.15,2120.0,159.24,0.0,0.25,0.22,2.59,7.96,15.92,8621,model_estimate,0.97
2023,1,4.34,0.0424,0.65,0.15,2184.0,158.72,0.0,0.25,0.22,2.61,7.94,15.87,8686,public,0.7
2023,1,4.34,0.0647,0.65,0.15,2213.0,159.21,1.5,0.25,0.22,2.61,7.96,15.92,8686,model_estimate,0.9
2023,1,4.31,0.0088,0.65,0.15,2144.0,159.36,0.0,0.25,0.22,2.59,7.97,15.94,8622,model_estimate,0.81
2023,1,4.36,0.0148,0.65,0.15,2221.0,159.44,0.0,0.25,0.22,2.62,7.97,15.94,8725,model_estimate,0.82
2023,1,4.36,0.0467,0.65,0.15,2162.0,159.3,0.0,0.25,0.22,2.62,7.97,15.93,8726,model_estimate,0.7
2023,1,4.37,0.0261,0.66,0.15,2210.0,159.42,1.5,0.25,0.22,2.62,7.97,15.94,8739,model_estimate,0.65
2023,1,4.3,0.0463,0.64,0.15,2147.0,159.97,0.0,0.25,0.21,2.58,8.0,16.0,8595,model_estimate,0.89
2023,1,4.38,0.0322,0.66,0.15,2153.0,160.43,0.0,0.25,0.22,2.63,8.02,16.04,8751,public,0.97
2023,2,4.4,0.0624,0.66,0.15,2154.0,160.67,1.5,0.25,0.22,2.64,8.03,16.07,8795,null,0.81
2023,2,4.42,0.0294,0.66,0.15,2182.0,161.39,0.0,0.25,0.22,2.65,8.07,16.14,8832,model_estimate,0.92
2023,2,4.44,0.049,0.67,0.15,2187.0,161.03,0.0,0.25,0.22,2.66,8.05,unknown,8872,public,0.73
2023,2,4.39,0.0793,0.66,0.15,2235.0,161.68,1.5,0.25,0.22,2.64,8.08,16.17,8789,public,0.85
2023,2,4.32,0.0324,0.65,0.15,2152.0,161.68,1.5,0.25,0.22,2.59,8.08,16.17,8630,public,0.62
2023,2,4.28,0.024,,0.15,2135.0,161.81,0.0,0.25,0.21,2.57,8.09,16.18,8550,model_estimate,0.8
2023,2,4.24,0.0518,0.64,0.15,2072.0,161.82,1.5,0.25,0.21,2.55,8.09,16.18,8484,model_estimate,0.67
2023,2,4.22,0.0397,0.63,0.15,2097.0,163.1,1.5,0.25,0.21,2.53,8.16,16.31,8438,model_estimate,0.78
2023,2,4.22,0.0618,0.63,0.15,2135.0,163.48,1.5,0.25,0.21,2.53,8.17,16.35,8449,model_estimate,0.85
2023,2,4.24,0.0495,0.64,0.15,2144.0,163.35,0.0,0.25,0.21,2.54,8.17,16.34,8470,public,0.97
2023,2,4.26,0.0534,0.64,0.15,2138.0,163.26,0.0,0.25,0.21,2.56,8.16,16.33,8518,model_estimate,0.75
2023,2,4.19,0.018,0.63,0.15,2119.0,163.97,0.0,0.25,0.21,2.51,8.2,16.4,8373,model_estimate,0.8
2023,2,4.17,,0.62,0.15,2075.0,164.28,1.5,0.25,0.21,2.5,8.21,16.43,8331,public,0.65
2023,2,4.15,0.0472,0.62,0.15,2029.0,164.96,0.0,0.25,0.21,2.49,8.25,16.5,8295,model_estimate,0.81
2023,2,4.15,0.0367,0.62,0.15,2106.0,165.05,0.0,0.25,0.21,2.49,8.25,16.5,8308,model_estimate,0.62
2023,2,4.13,0.0175,0.62,0.15,2022.0,164280.0,1.5,0.25,0.21,2.48,8.21,16.43,8262,model_estimate,0.93
2023,2,4.22,0.0472,0.63,0.15,2061.0,163.81,0.0,0.25,0.21,2.53,8.19,16.38,8441,public,0.72
2023,2,4.18,0.066,0.63,0.15,2063.0,162.95,1.5,0.25,0.21,2.51,8.15,16.29,8355,public,0.66
2023,2,4.25,0.0233,0.64,0.15,,163.39,1.5,0.25,0.21,2.55,8.17,16.34,8492,public,0.73
2023,2,4.28,0.0156,0.64,0.15,2118.0,163.39,1.5,0.25,0.21,2.57,8.17,16.34,8567,model_estimate,0.64
2023,2,4.3,0.0386,0.65,0.15,2174.0,164.03,1.5,0.25,0.22,2.58,8.2,16.4,8603,model_estimate,0.73
2023,2,4.36,0.0683,0.65,0.15,2201.0,163.61,0.0,0.25,0.22,2.61,8.18,16.36,8712,model_estimate,0.89
2023,2,4.25,0.065,0.64,0.15,2148.0,163.84,0.0,0.25,0.21,2.55,8.19,N/A,8497,public,0.8
2023,2,4.21,0.0475,0.63,0.15,2116.0,162.53,1.5,0.25,0.21,2.52,8.13,16.25,8415,public,0.7
2023,2,4.26,0.0638,0.64,0.15,2106.0,162.14,1.5,0.25,0.21,2.56,8.11,16.21,8526,public,0.84
2023,2,4.22,0.0335,-9999.99,0.15,2060.0,162.87,0.0,0.25,0.21,2.53,8.14,N/A,8443,model_estimate,0.98
2023,2,4.18,0.0548,0.63,0.15,2052.0,163.51,0.0,0.25,0.21,2.51,8.18,16.35,8350,model_estimate,0.87
2023,2,4.12,0.029,0.62,0.15,2012.0,162.58,0.0,0.25,0.21,2.47,8.13,16.26,8245,public,0.92
2023,2,4.09,0.051,0.61,0.15,2069.0,162.72,0.0,0.25,0.2,2.45,8.14,16.27,8174,public,0.92
2023,2,4.09,0.0539,0.61,0.15,2030.0,162.74,0.0,0.25,0.2,2.45,8.14,16.27,8171,public,0.85
2023,2,4.12,0.0333,0.62,0.15,2080.0,162.8,0.0,0.25,0.21,2.47,8.14,16.28,8239,public,0.74
2023,2,4.13,0.0552,0.62,0.15,2084.0,163.76,1.5,0.25,0.21,2.48,8.19,16.38,8261,public,0.72
2023,2,4.08,0.0606,0.61,0.15,2043.0,163.91,0.0,0.25,0.2,2.45,8.2,16.39,8157,null,0.61
2023,2,4.06,0.0799,0.61,0.15,2002.0,163.29,0.0,0.25,0.2,2.44,8.16,16.33,8121,model_estimate,0.87
2023,2,4.06,0.0525,0.61,0.15,1990.0,164.04,1.5,0.25,0.2,2.44,8.2,16.4,8123,N/A,0.66
2023,2,4.06,0.0345,0.61,0.15,2015.0,164.18,0.0,0.25,0.2,2.44,8.21,16.42,8128,public,0.67
2023,2,4.06,0.0545,0.61,0.15,2062.0,164.38,0.0,0.25,0.2,2.44,8.22,16.44,8120,public,0.63
2023,2,4.02,0.0614,0.6,0.15,1974.0,164.31,1.5,0.25,0.2,2.41,8.22,16.43,8046,public,0.72
2023,2,4.04,0.0371,0.61,0.15,2065.0,163.85,1.5,0.25,0.2,2.42,8.19,16.38,8079,model_estimate,0.73
2023,2,4.06,0.0647,0.61,0.15,1980.0,164.04,0.0,0.25,0.2,2.44,8.2,16.4,8118,model_estimate,0.74
2023,2,4.07,0.0643,0.61,0.15,2025.0,164.06,1.5,0.25,0.2,2.44,8.2,16.41,8136,model_estimate,0.65
2023,2,4.05,0.0596,0.61,0.15,2037.0,163.95,0.0,0.25,0.2,2.43,8.2,16.39,8109,model_estimate,0.66
2023,2,4.02,0.0704,0.6,0.15,2045.0,163.58,0.0,0.25,0.2,2.41,8.18,16.36,8038,public,0.75
2023,2,3.98,0.0493,0.6,0.15,1996.0,163.19,0.0,0.25,0.2,2.39,8.16,16.32,7968,-------,0.91
2023,2,3.92,0.038,0.59,0.15,1916.0,162.84,0.0,0.25,0.2,2.35,8.14,16.28,7841,model_estimate,0.75
2023,2,3.86,0.0564,0.58,0.15,1924.0,162.86,0.0,0.25,0.19,2.32,8.14,16.29,7729,model_estimate,0.79
2023,2,3.92,0.0738,0.59,0.15,1936.0,162.24,0.0,0.25,0.2,2.35,8.11,16.22,7837,model_estimate,0.7
2023,2,4.01,0.0275,0.6,0.15,2012.0,162.07,0.0,0.25,0.2,2.4,8.1,unknown,8013,public,0.91
2023,2,3.98,0.0598,0.6,0.15,1979.0,161.79,1.5,0.25,0.2,2.39,8.09,16.18,7950,public,0.66
2023,2,4.01,0.0595,,0.15,2000.0,162.25,1.5,0.25,0.2,2.41,8.11,16.23,8028,model_estimate,0.85
2023,2,4.02,0.0472,0.6,0.15,,162.47,0.0,0.25,0.2,2.41,8.12,16.25,8036,public,0.61
2023,2,4.0,0.0423,0.6,0.15,2039.0,162.64,0.0,0.25,0.2,2.4,8.13,16.26,7991,public,0.68
2023,2,4.05,,0.61,0.15,,163.37,0.0,0.25,0.2,2.43,8.17,16.34,8098,public,0.92
2023,2,4.11,0.0762,0.62,0.15,2048.0,164.02,0.0,0.25,0.21,2.46,8.2,16.4,8215,public,0.84
2023,2,4.14,0.0856,0.62,0.15,2020.0,164.53,1.5,0.25,0.21,2.48,8.23,16.45,8282,public,0.94
2023,2,4.04,0.0645,0.61,0.15,2015.0,164.19,0.0,0.25,0.2,2.42,8.21,16.42,8078,model_estimate,0.68
2023,2,4.13,0.0854,0.62,0.15,2093.0,164.1,1.5,0.25,0.21,2.48,8.21,16.41,8258,public,0.89
2023,2,4.18,0.0216,0.63,0.15,2133.0,162.83,0.0,0.25,0.21,2.51,8.14,16.28,8351,model_estimate,0.66
2023,2,4.1,0.0488,0.62,0.15,,163.26,0.0,0.25,0.21,2.46,8.16,16.33,8200,model_estimate,0.75
2023,2,3.99,0.0344,0.6,0.15,1956.0,162.63,1.5,0.25,0.2,2.4,8.13,16.26,7985,public,0.74
2023,2,3.98,0.0774,0.6,0.15,1973.0,163.11,0.0,0.25,0.2,2.39,8.16,16.31,7967,public,0.87
2023,2,4.03,0.0138,0.6,0.15,2013.0,162.35,0.0,0.25,0.2,2.42,8.12,16.23,8054,model_estimate,0.76
2023,2,4.02,0.0824,0.6,0.15,2004.0,161.77,0.0,0.25,0.2,2.41,8.09,16.18,8033,public,0.87
2023,2,4.03,0.0432,0.6,0.15,1971.0,161.97,0.0,0.25,0.2,2.42,8.1,16.2,8057,public,0.71
2023,2,4.03,0.0692,0.6,0.15,2026.0,161.4,1.5,0.25,0.2,2.42,8.07,N/A,8052,model_estimate,0.65
2023,2,4.03,0.0299,0.61,0.15,2057.0,161.72,0.0,0.25,0.2,2.42,8.09,16.17,8068,public,0.64
2023,2,4.0,0.0371,0.6,0.15,,161.82,0.0,0.25,0.2,2.4,8.09,16.18,8008,public,0.91
2023,2,4.03,0.0425,0.6,0.15,1996.0,161.65,0.0,0.25,0.2,2.42,8.08,16.17,8055,model_estimate,0.81
2023,2,4.07,,0.61,0.15,2000.0,161.78,1.5,0.25,0.2,2.44,8.09,16.18,8143,public,0.71
2023,2,4.19,0.0408,0.63,0.15,2095.0,162.18,0.0,0.25,0.21,2.51,8.11,16.22,8371,model_estimate,null
2023,2,4.16,0.0566,0.62,0.15,2047.0,162.3,0.0,0.25,0.21,2.5,8.11,16.23,8323,model_estimate,0.82
2023,2,4.15,0.0581,0.62,0.15,2074.0,161.99,1.5,0.25,0.21,2.49,8.1,16.2,8294,public,0.98
2023,2,4.12,0.081,0.62,0.15,2058.0,161.63,0.0,0.25,0.21,2.47,8.08,16.16,8246,public,0.88
2023,2,4.13,0.0591,0.62,0.15,2089.0,160.16,0.0,0.25,0.21,2.48,8.01,16.02,8264,public,0.67
2023,2,4.08,0.0309,0.61,0.15,2053.0,159.02,1.5,0.25,0.2,2.45,7.95,15.9,8153,public,0.68
2023,2,3.99,0.0915,,0.15,2020.0,159.31,0.0,0.25,0.2,2.4,7.97,15.93,7989,public,0.88
2023,2,4.01,0.0532,0.6,0.15,1973.0,159.92,0.0,0.25,0.2,2.41,8.0,15.99,8017,model_estimate,0.62
2023,2,4.01,0.0411,0.6,0.15,1977.0,159.71,0.0,0.25,0.2,2.41,7.99,15.97,8019,public,0.85
2023,2,4.08,0.0496,0.61,0.15,2004.0,158.93,0.0,0.25,0.2,2.45,7.95,15.89,8154,public,0.75
2023,2,4.05,0.0308,0.61,0.15,2000.0,159.27,1.5,0.25,0.2,2.43,7.96,15.93,8099,unknown,0.9
2023,2,4.05,0.0371,0.61,0.15,2001.0,159.22,0.0,0.25,0.2,2.43,7.96,15.92,8105,public,0.81
2023,2,3.97,0.056,0.59,0.15,1956.0,159.82,0.0,0.25,0.2,2.38,7.99,15.98,7932,model_estimate,0.74
2023,2,4.01,0.0425,0.6,0.15,1967.0,160.26,0.0,0.25,0.2,2.4,8.01,16.03,8012,public,0.94
2023,2,401.99999999999994,0.0433,0.6,0.15,1961.0,159.47,1.5,0.25,0.2,2.41,7.97,15.95,8042,unknown,0.99
2023,2,4.02,0.0448,0.6,0.15,1981.0,159.74,1.5,0.25,0.2,2.41,7.99,15.97,8038,model_estimate,0.6
2023,2,4.09,0.0547,0.61,0.15,2009.0,159.4,0.0,0.25,0.2,2.46,7.97,15.94,8186,public,0.75
2023,2,3.98,0.0415,0.6,0.15,1994.0,159.91,1.5,0.25,0.2,2.39,8.0,15.99,7954,model_estimate,0.9
2023,2,3.95,0.091,0.59,0.15,1941.0,160.45,0.0,0.25,0.2,2.37,8.02,unknown,7896,public,0.8
2023,2,4.01,0.0596,0.6,0.15,2052.0,159.5,0.0,0.25,0.2,2.41,7.97,15.95,8023,public,0.65
2023,2,4.02,,0.6,0.15,2008.0,159.46,0.0,0.25,0.2,2.41,7.97,15.95,8046,public,0.69
2023,2,3.99,0.0551,0.6,0.15,2043.0,159.98,1.5,0.25,0.2,2.4,8.0,16.0,7987,public,0.96
2023,3,4.03,,0.6,0.15,2028.0,160.01,0.0,0.25,0.2,2.42,8.0,16.0,8061,public,0.6
2023,3,3.98,0.0825,0.6,0.15,1967.0,159.88,0.0,0.25,0.2,2.39,7.99,15.99,7969,model_estimate,0.97
2023,3,4.04,0.0085,0.61,0.15,2043.0,160.18,1.5,0.25,0.2,2.42,8.01,null,8075,model_estimate,0.87
2023,3,4.02,0.0819,,0.15,2051.0,159.6,1.5,0.25,0.2,2.41,7.98,15.96,8033,public,0.63
2023,3,4.05,0.0727,0.61,0.15,2035.0,159.54,0.0,0.25,0.2,2.43,7.98,15.95,8105,model_estimate,0.82
2023,3,4.05,0.0824,0.61,0.15,2009.0,159.81,0.0,0.25,0.2,2.43,7.99,15.98,8099,public,0.83
2023,3,4.02,0.055,0.6,0.15,2017.0,160.16,0.0,0.25,0.2,2.41,8.01,16.02,8033,public,0.85
2023,3,4.0,0.0025,0.6,0.15,2016.0,161.01,0.0,0.25,0.2,2.4,8.05,16.1,8002,model_estimate,0.8
2023,3,4.02,0.0282,0.6,0.15,2039.0,160.65,0.0,0.25,0.2,2.41,8.03,16.06,8031,model_estimate,0.7
2023,3,4.02,0.0605,0.6,0.15,2048.0,159.45,0.0,0.25,0.2,2.41,7.97,15.95,8043,public,0.62
2023,3,4.05,0.0839,0.61,0.15,2032.0,159.57,0.0,0.25,0.2,2.43,7.98,15.96,8103,public,0.81
2023,3,4.0,0.0528,,0.15,1968.0,159.75,0.0,0.25,0.2,2.4,7.99,15.98,7998,model_estimate,0.63
2023,3,4.11,0.0292,0.62,0.15,2049.0,160.57,0.0,0.25,0.21,2.47,8.03,16.06,8223,public,0.79
2023,3,4.11,0.0388,0.62,0.15,2051.0,160.74,0.0,0.25,0.21,2.47,8.04,16.07,8216,model_estimate,0.65
2023,3,4.04,0.0398,0.61,0.15,2056.0,160.59,1.5,0.25,0.2,2.43,8.03,16.06,8084,public,0.66
2023,3,4.06,0.0448,0.61,0.15,2059.0,160.88,0.0,0.25,0.2,2.44,8.04,16.09,8124,model_estimate,0.97
2023,3,4.07,0.0328,0.61,0.15,2064.0,160.83,0.0,0.25,0.2,2.44,8.04,16.08,8147,model_estimate,0.8
2023,3,4.05,0.0792,0.61,0.15,2019.0,160.47,0.0,0.25,0.2,2.43,8.02,16.05,8097,model_estimate,0.61
2023,3,4.1,0.0532,0.62,0.15,2013.0,160.96,0.0,0.25,0.21,2.46,8.05,16.1,8208,public,0.64
2023,3,4.08,0.0754,0.61,0.15,2013.0,162.72,0.0,0.25,0.2,2.45,8.14,16.27,8150,model_estimate,0.81
2023,3,4.04,0.0473,0.61,0.15,2046.0,162.01,0.0,0.25,0.2,2.42,8.1,16.2,8076,public,0.62
2023,3,3.98,0.0976,,0.15,2022.0,161.86,0.0,0.25,0.2,2.39,8.09,16.19,7959,public,0.9
2023,3,3.96,0.0302,0.59,0.15,2002.0,160.61,1.5,0.25,0.2,2.37,8.03,16.06,7911,model_estimate,0.62
2023,3,3.97,0.0386,0.6,0.15,1948.0,160.79,1.5,0.25,0.2,2.38,8.04,16.08,7948,public,0.85
2023,3,3.92,0.0605,0.59,0.15,1927.0,161.07,0.0,0.25,0.2,2.35,8.05,16.11,7838,-------,0.85
2023,3,3.86,0.064,0.58,0.15,1890.0,161.18,1.5,0.25,0.19,2.32,8.06,16.12,7720,model_estimate,null
2023,3,3.79,0.0681,0.57,0.15,1910.0,160.91,0.0,0.25,0.19,2.28,8.05,16.09,7585,public,0.97
2023,3,3.81,0.0963,0.57,0.15,1944.0,160.47,0.0,0.25,0.19,2.29,8.02,16.05,7628,public,0.63
2023,3,3.88,0.0367,0.58,0.15,1980.0,160.31,1.5,0.25,0.19,2.33,8.02,16.03,7768,public,0.73
2023,3,3.87,0.043,0.58,0.15,1971.0,160.27,0.0,0.25,0.19,2.32,8.01,16.03,7744,public,0.87
